date,Open_Price,High_Price,Low_Price,Volume,Close_Price
12/26/2019,130.35,130.35,128.51,204241,128.69
12/27/2019,128.69,130.65,128.3,233758,129.56
12/30/2019,130.45,130.5,129.19,3175973,130.26
12/31/2019,130.21,130.26,129.02,235878,129.15
01-01-2020,128.95,131,128.95,269259,129.42
01-02-2020,132,134.6,129.4,329677,130.14
01-03-2020,129.07,130.85,129.07,298681,129.71
01-06-2020,129.4,129.47,127.11,721657,127.37
01-07-2020,127.95,128.7,127.31,743200,127.76
01-08-2020,126.59,127.75,126.5,422774,127.56
01-09-2020,128.95,129.55,128.35,291102,129.34
01-10-2020,129.95,130.2,129.3,426319,129.61
01/13/2020,127,130.5,124.4,531373,130.41
01/14/2020,130.75,131.23,129.8,325889,131.01
01/15/2020,131.4,131.45,130,318992,131.01
01/16/2020,131.45,131.5,130,277915,130.91
01/17/2020,131.45,131.45,130.5,394076,131.19
01/20/2020,131.21,131.5,129.7,769381,129.78
01/21/2020,130.35,130.35,129.05,458654,129.27
01/22/2020,131.45,131.45,128.22,471486,128.53
01/23/2020,129.45,129.45,128.2,184783,129.31
01/24/2020,129.26,130.3,128.75,630671,130.11
01/27/2020,129,130,128.55,414564,128.73
01/28/2020,130.66,130.66,127.6,826302,128.1
01/29/2020,128.75,129.2,128.05,179693,128.76
01/30/2020,128.95,129,127.5,1074097,127.74
01/31/2020,127.95,128.43,126.9,632544,127.17
02-01-2020,127.35,127.78,123.6,1076883,124.71
02-03-2020,124.76,126,123.5,1306194,124.42
02-04-2020,125.25,126.93,124.05,331366,126.75
02-05-2020,126.1,128.1,126.1,343990,127.91
02-06-2020,127.86,129.05,127.55,348705,128.94
02-07-2020,129.15,129.15,127.74,512906,128.19
02-10-2020,129.85,129.85,127.31,371411,127.91
02-11-2020,128.05,129.95,128.05,301763,128.3
02-12-2020,128.85,129.35,128.6,244082,129.19
02/13/2020,129.54,129.54,128.5,491397,129.3
02/14/2020,129.54,129.69,128.09,435089,128.38
02/17/2020,128.92,129,127.7,254024,127.84
02/18/2020,126.95,128.5,126.55,569499,127.34
02/19/2020,127.95,128.7,127,463260,128.59
02/19/2020,127.95,128.7,127,463260,128.59
02/19/2020,127.95,128.7,127,463260,128.59
02/19/2020,127.95,128.7,127,463260,128.59
02/19/2020,127.95,128.7,127,463260,128.59
02/20/2020,128.55,128.8,128,354821,128.36
02/24/2020,128.41,128.41,125.5,3544077,125.73
02/25/2020,126.35,126.4,125.11,587395,125.34
02/26/2020,125.39,125.39,123.8,2733254,124.04
02/27/2020,123.55,124.49,122.54,1863612,123.64
02/28/2020,121.65,122.94,119.11,8148034,119.29
03-02-2020,122.05,122.05,117.21,2355594,118.39
03-03-2020,119.44,121.01,118.55,1810345,120.4
03-03-2020,119.44,121.01,118.55,1810345,120.4
03-03-2020,119.44,121.01,118.55,1810345,120.4
03-03-2020,119.44,121.01,118.55,1810345,120.4
03-03-2020,119.44,121.01,118.55,1810345,120.4
03-03-2020,119.44,121.01,118.55,1810345,120.4
03-03-2020,119.44,121.01,118.55,1810345,120.4
03-04-2020,121.4,121.4,117.91,2300345,119.52
03-04-2020,121.4,121.4,117.91,2300345,119.52
03-04-2020,121.4,121.4,117.91,2300345,119.52
03-04-2020,121.4,121.4,117.91,2300345,119.52
03-04-2020,121.4,121.4,117.91,2300345,119.52
03-04-2020,121.4,121.4,117.91,2300345,119.52
03-05-2020,142.95,142.95,118.6,513870,119.75
03-06-2020,118.49,118.49,115.6,3370046,117.18
03-09-2020,116.49,116.49,109.74,8020071,111.62
03-11-2020,111.49,112.5,110.2,3831171,111.31
03-12-2020,110,110,101.05,10399708,102.99
03/13/2020,91.26,120.85,91.26,8805655,106.36
